neighbourhood_group,neighbourhood
Ayios Vasileios,Αγίου Βασιλείου
Ayios Nikolaos,Αγίου Νικολάου
Amariou,Αμάριου
Anogia,Ανωγείων
Apokoronas,Αποκορώνου
Arhanes,Αρχανών - Αστερουσίων
Vianou,Βιάννου
Gaudos,Γαύδου
Gortynas,Γόρτυνας
Heraklion,Ηρακλείου
Ierapetra,Ιεράπετρας
Kandanos,Καντάνου - Σέλινου
Kissamos,Κισσάμου
Maleviziou,Μαλεβιζίου
Minoa Pediada,Μινώα Πεδιάδας
Milopotamos,Μυλοποτάμου
Oropedio Lasithi,Οροπεδίου Λασιθίου
Platanias,Πλατανιά
Rethymno,Ρεθύμνης
Sitia,Σητείας
Sfakia,Σφακίων
Faistos,Φαιστού
Chania,Χανίων
Chersonisos,Χερσονήσου